"proteinName"	"ac"	"geneName"	"proteinDescription"	"idScore"	"idQValue"	"nbPeptides"	"allAccessions"	"R424_B_IL38_1_AL_250425_0944_Expl"	"R424_B_IL38_2_AL_250425_0944_Expl"	"R424_B_IL38_3_AL_250425_0944_Expl"	"R424_B_CD3_1_AL_250425_0944_Expl"	"R424_B_CD3_2_AL_250425_0944_Expl"	"R424_B_CD3_3_AL_250425_0944_Expl_"	"R424_B_G_1_AL_250425_0944_Expl_"	"R424_B_G_2_AL_250425_0944_Expl_"	"R424_B_G_3_AL_250425_0944_Expl"	"medianInt_IL38"	"medianInt_antiCD3"	"medianInt_Glycine"	"cv_IL38"	"cv_antiCD3"	"cv_Glycine"	"log2ratio_antiCD3"	"log2ratio_Glycine"	"fracNAFeatures.IL38"	"fracNAFeatures.antiCD3"	"fracNAFeatures.Glycine"	"pValue_antiCD3"	"pValue_Glycine"	"qValue_antiCD3"	"qValue_Glycine"	"FTestPValue"	"FTestQValue"
"sp|A0A075B6T6|TVAL2_HUMAN"	"A0A075B6T6"	"TRAV12-2"	"T cell receptor alpha variable 12-2 OS=Homo sapiens OX=9606 GN=TRAV12-2 PE=1 SV=1"	1.9961	0	2	"sp|A0A075B6T6|TVAL2_HUMAN"	39038.8704649779	77976.2759550407	81327.1528334135	102154.359000066	101987.966063967	98720.4706300261	142761.894746274	145853.027606841	134337.572248824	77976.2759550407	101987.966063967	142761.894746274	0.3555613481347	0.0191800814208858	0.0422742932448519	0.387291773068338	0.872503793915278	0	0	0	0.054451530254243	0.00603005284564555	0.135217926430611	0.00817053813568201	0.00474298582123501	0.00621238142859802
"sp|A0A087WT02|TVA92_HUMAN"	"A0A087WT02"	"TRAV9-2"	"T cell receptor alpha variable 9-2 OS=Homo sapiens OX=9606 GN=TRAV9-2 PE=3 SV=1"	1.9932	0	2	"sp|A0A087WT02|TVA92_HUMAN"	26101.9033339779	40662.1146503578	59491.1811086042	72000.6624348717	44396.6159719615	64046.5104649148	98860.4613789599	107199.658697786	116367.516085868	40662.1146503578	64046.5104649148	107199.658697786	0.397767189794173	0.236233860392359	0.081476843203471	0.65543472325281	1.39854316234325	0.166666666666667	0	0	0.139636447908381	0.0023511371277021	0.262014458434827	0.00346701898742827	0.00344043108414496	0.00469332883931289
"sp|A0A087X0M5|TVB18_HUMAN"	"A0A087X0M5"	"TRBV18"	"T cell receptor beta variable 18 OS=Homo sapiens OX=9606 GN=TRBV18 PE=3 SV=6"	2.9745	0	3	"sp|A0A087X0M5|TVB18_HUMAN"	33850.4175674668	20488.8937388113	29525.6844992896	66611.5902270475	61753.744204719	54593.4631507557	87646.7353529934	75264.0273996303	72406.0181581064	29525.6844992896	61753.744204719	75264.0273996303	0.243886069410642	0.0991323229569107	0.103280678044977	1.06455610543606	1.34998998422508	0.111111111111111	0	0	0.00128445571250348	0.000234895067316904	0.0148340422363005	0.00049655033217624	8.21192987630238e-05	0.000204685416319776
"sp|A0A0A6YYC5|TVA14_HUMAN"	"A0A0A6YYC5"	"TRAV14DV4"	"T cell receptor alpha variable 14delta variable 4 OS=Homo sapiens OX=9606 GN=TRAV14DV4 PE=3 SV=5"	1.9738	0	2	"sp|A0A0A6YYC5|TVA14_HUMAN"	31790.4103478779	34278.0925608266	38207.2713340457	61385.2584338418	59873.657535486	65025.0321061379	129072.157156902	141999.720036178	126090.943530762	34278.0925608266	61385.2584338418	129072.157156902	0.0930792325580789	0.0426436261366201	0.0638786362325322	0.840605404954411	1.91281908619854	0.166666666666667	0	0	0.000374074138282654	1.42346928723776e-06	0.00825354742243291	6.56747162000348e-05	1.57869202216488e-07	1.07677447704228e-05
"sp|A0A0A6YYJ7|TVA83_HUMAN"	"A0A0A6YYJ7"	"TRAV8-3"	"T cell receptor alpha variable 8-3 OS=Homo sapiens OX=9606 GN=TRAV8-3 PE=3 SV=5"	2.9367	0	3	"sp|A0A0A6YYJ7|TVA83_HUMAN"	89118.4015034668	100373.648570273	102856.173313508	193945.191387007	191018.55291378	148422.376467019	270208.572774502	251513.502904644	219290.171973569	100373.648570273	191018.55291378	251513.502904644	0.0751247187431187	0.143309780680786	0.104277549290713	0.928332205168015	1.32525529205771	0	0	0	0.00106003248627148	2.14424590012726e-05	0.014025318266385	0.00010532031332978	2.66912341840389e-05	8.69743630972586e-05
"sp|A0A0A6YYK1|TVA81_HUMAN"	"A0A0A6YYK1"	"TRAV8-1"	"T cell receptor alpha variable 8-1 OS=Homo sapiens OX=9606 GN=TRAV8-1 PE=3 SV=5"	1.9885	0	2	"sp|A0A0A6YYK1|TVA81_HUMAN"	9565.38528897788	12271.5572288442	7236.94996681873	15334.8412803592	18115.9848117623	21218.7407299147	42439.6931042069	33958.5238106016	37225.1251873216	9565.38528897788	18115.9848117623	37225.1251873216	0.259992458325385	0.161520264490396	0.112944392967431	0.921368249066392	1.96038171467344	0	0	0	0.0058317578176323	5.47343867049504e-05	0.0332380235282314	0.000169271158883828	2.80837964650501e-05	9.06279035683743e-05
"sp|A0A0A6YYK7|TVA19_HUMAN"	"A0A0A6YYK7"	"TRAV19"	"T cell receptor alpha variable 19 OS=Homo sapiens OX=9606 GN=TRAV19 PE=2 SV=5"	3.9961	0	4	"sp|A0A0A6YYK7|TVA19_HUMAN"	157970.505619956	124633.226956813	178969.122473446	175494.039557148	94347.1453228643	130733.821564664	314653.573381589	280601.704523008	289968.814900445	157970.505619956	130733.821564664	289968.814900445	0.178089607214103	0.304402831752913	0.0596146127203415	-0.273022798002295	0.876242531307156	0	0	0	0.399398995853716	0.000634048947809713	0.528391852639247	0.00112945252569837	0.00148168975337912	0.00219460921343071
"sp|A0A0B4J237|TVA82_HUMAN"	"A0A0B4J237"	"TRAV8-2"	"T cell receptor alpha variable 8-2 OS=Homo sapiens OX=9606 GN=TRAV8-2 PE=3 SV=1"	1.8282	0	2	"sp|A0A0B4J237|TVA82_HUMAN"	134001.313178078	125731.061305872	172903.488757757	312996.034414379	185701.673439258	202094.112319344	174787.433846925	168068.072282062	157154.27520074	134001.313178078	202094.112319344	168068.072282062	0.174668810615712	0.296442278313654	0.0533949704954388	0.592780152985824	0.326798544528355	0	0	0	0.0291218932990948	0.170180833897152	0.0904810452269549	0.187283026430474	0.0300999892827085	0.0341952259198116
"sp|A0A0B4J241|TVAM1_HUMAN"	"A0A0B4J241"	"TRAV13-1"	"T cell receptor alpha variable 13-1 OS=Homo sapiens OX=9606 GN=TRAV13-1 PE=3 SV=1"	1.9984	0	2	"sp|A0A0B4J241|TVAM1_HUMAN"	13145.2721689779	40723.8097832603	16383.104513003	35059.7810463748	30512.5973698831	46640.2149331424	85153.5403374801	71269.4198738837	68333.810028551	16383.104513003	35059.7810463748	71269.4198738837	0.643751138412103	0.222314119923153	0.119918328934689	1.09760822019418	2.12107441493492	0	0	0	0.0989605101187982	0.00374672051240364	0.209859113521769	0.00528018840144648	0.00363315558647247	0.00491285006429881
"sp|A0A0B4J244|TVA3_HUMAN"	"A0A0B4J244"	"TRAV3"	"T cell receptor alpha variable 3 OS=Homo sapiens OX=9606 GN=TRAV3 PE=3 SV=1"	1.9874	0	2	"sp|A0A0B4J244|TVA3_HUMAN"	10110.4719359779	13271.3930538808	9122.48917462745	18918.0505700329	20964.6941215634	33237.283484018	85979.0028463489	76403.2926924315	74150.1563364323	10110.4719359779	20964.6941215634	76403.2926924315	0.200023854642529	0.317736711486344	0.0796612479862673	1.05211144033123	2.91778447344913	0.333333333333333	0.166666666666667	0	0.00377801522168475	1.25748683325755e-06	0.0265654122956359	6.56747162000348e-05	3.04518061211134e-06	2.06780109520138e-05
